model,epsilon,loss_mode,n_images,trees,pixel_mse,pixel_linf,latent_mse,latent_linf,recon_mse_orig,recon_mse_adv_vs_orig,decoded_diff_mse,amplification
CogVideoX,0.02,latent,30,results;results/imagenet25,0.0003356160406838171,0.02000001072883606,0.2692382466048002,5.888477500279745,0.003729278891114518,0.004279801486215244,0.001313685694670615,802.2210322731529
CogVideoX,0.02,pixel,30,results;results/imagenet25,0.0003403951355721802,0.02000001072883606,0.0801322695488731,2.4939917365709943,0.003729278891114518,0.0076283071112508575,0.0026986579527147115,235.40956134457215
CogVideoX,0.04,latent,30,results;results/imagenet25,0.0012504370126407594,0.04000002145767212,0.45603337064385413,7.3665228366851805,0.003729278891114518,0.00549593420776849,0.003110344447971632,364.699193988805
CogVideoX,0.04,pixel,30,results;results/imagenet25,0.0013156652101315558,0.04000002145767212,0.1434251569211483,2.8306133270263674,0.003729278891114518,0.012924101452032726,0.007424348390971621,109.01341451964589
CogVideoX,0.06,latent,30,results;results/imagenet25,0.0026951010261351866,0.06000000238418579,0.5933476035793622,7.804260698954264,0.003729278891114518,0.007165591286805769,0.005110219858276348,220.15783372329875
CogVideoX,0.06,pixel,30,results;results/imagenet25,0.0029342728123689693,0.06000000238418579,0.19670776948332785,3.108626612027486,0.003729278891114518,0.01871559110780557,0.012827579366664092,67.0379961447814
CogVideoX,0.1,latent,30,results;results/imagenet25,0.007103497131417195,0.10000002384185791,0.8126961628595988,9.0852840423584,0.003729278891114518,0.01138693974353373,0.009662336142112812,114.4078962551028
CogVideoX,0.1,pixel,30,results;results/imagenet25,0.00804466266805927,0.10000002384185791,0.28592514668901764,3.28865270614624,0.003729278891114518,0.03181066910425822,0.025410478437940278,35.54221705582037
CogVideoX,0.15,latent,30,results;results/imagenet25,0.01555619298790892,0.15000003576278687,1.0418822805086771,9.380759938557942,0.003729278891114518,0.018320430597911278,0.016659758643557628,66.97540209988922
CogVideoX,0.15,pixel,30,results;results/imagenet25,0.01818897755195697,0.15000003576278687,0.3839403306444486,3.410682702064514,0.003729278891114518,0.053093470508853595,0.04632717780768871,21.108406426239174
CogVideoX,0.2,latent,30,results;results/imagenet25,0.027488544148703418,0.20000000298023224,1.2619018932183583,9.951969877878826,0.003729278891114518,0.027065675581494968,0.025342969782650472,45.90646512204903
CogVideoX,0.2,pixel,30,results;results/imagenet25,0.03255122465391954,0.20000000298023224,0.4714974155028661,3.3300522804260253,0.003729278891114518,0.07929321887592475,0.07219636564453442,14.484782692994392
FLUX.1,0.02,latent,30,results;results/imagenet25,0.00026978731960601484,0.02000001072883606,1.4405662993590036,6.129204098383585,0.0027950179181061687,0.00392936707357876,0.0023631455008095753,5339.636797840392
FLUX.1,0.02,pixel,30,results;results/imagenet25,0.000244796298405466,0.02000001072883606,0.928738667567571,5.359446668624878,0.0027950179181061687,0.005651741851276408,0.002936033535903941,3793.924473601572
FLUX.1,0.04,latent,30,results;results/imagenet25,0.0010159826759869853,0.04000002145767212,2.4936634461085,7.394279813766479,0.0027950179181061687,0.007007980695925653,0.006014035145441691,2454.435006665846
