model,epsilon,pixel_mse,pixel_linf,latent_mse,latent_linf,recon_mse_orig,recon_mse_adv_vs_orig,decoded_diff_mse,amplification,apgd_recon_wins,apgd_decoded_wins,apgd_latent_wins,square_decoded_wins,clean_wins
CogVideoX,0.02,0.000326,0.02,0.207975,3.149894,0.000868,0.00436,0.003544,637.9601226993865,2,3,0,0,0
CogVideoX,0.04,0.001286,0.04,0.303998,3.27889,0.000868,0.009578,0.008883,236.39035769828925,2,3,0,0,0
CogVideoX,0.06,0.002945,0.06,0.387175,3.484829,0.000868,0.016076,0.015653,131.4685908319185,0,5,0,0,0
CogVideoX,0.1,0.008152,0.1,0.514222,3.501719,0.000868,0.03198,0.031646,63.07924435721295,0,5,0,0,0
CogVideoX,0.15,0.018329,0.15,0.644325,3.842659,0.000868,0.056322,0.055999,35.15330896393693,0,5,0,0,0
FLUX.1,0.02,0.000242,0.02,1.962193,6.689842,0.000804,0.003779,0.00325,8108.235537190083,1,4,0,0,0
FLUX.1,0.04,0.000932,0.04,3.31674,8.547741,0.000804,0.011508,0.010889,3558.733905579399,3,2,0,0,0
FLUX.1,0.06,0.002016,0.06,4.150193,8.968746,0.000804,0.019325,0.019077,2058.62748015873,2,3,0,0,0
FLUX.1,0.1,0.005654,0.1,5.575438,9.822107,0.000804,0.047202,0.04711,986.1050583657587,3,2,0,0,0
FLUX.1,0.15,0.012786,0.15,6.62697,9.971474,0.000804,0.102697,0.102789,518.2989206945095,3,2,0,0,0
FLUX.1,0.2,0.022848,0.2,7.228767,10.871517,0.000804,0.157544,0.158128,316.3851102941177,1,4,0,0,0
FLUX.2,0.02,0.00029,0.02,2.862719,15.400166,0.000539,0.345187,0.343943,9871.444827586207,3,2,0,0,0
FLUX.2,0.04,0.001039,0.04,3.26124,12.864993,0.000539,0.536028,0.537069,3138.825794032724,2,3,0,0,0
FLUX.2,0.06,0.002247,0.06,3.118129,11.00902,0.000539,0.821552,0.825026,1387.6853582554518,1,4,0,0,0
FLUX.2,0.1,0.00615,0.1,3.206838,12.103517,0.000539,1.109312,1.113206,521.4370731707317,2,3,0,0,0
FLUX.2,0.15,0.013941,0.15,3.794969,13.690569,0.000539,1.415343,1.418481,272.2164120220931,0,5,0,0,0
FLUX.2,0.2,0.024905,0.2,3.794946,14.6475,0.000539,1.424632,1.429179,152.37687211403332,0,5,0,0,0
LTX Video,0.02,0.00033,0.02,0.049241,2.185444,0.001365,0.008543,0.00684,149.21515151515152,5,0,0,0,0
SD 1.5,0.02,0.000273,0.02,7.844768,24.220646,0.003523,0.044239,0.04424,28735.413919413917,0,5,0,0,0
SD 1.5,0.04,0.000976,0.04,11.071525,29.973761,0.003523,0.155996,0.1564,11343.775614754099,2,3,0,0,0
SD 1.5,0.06,0.002119,0.06,13.139727,29.12208,0.003523,0.236547,0.237283,6200.909391222275,2,3,0,0,0
SD 1.5,0.1,0.005777,0.1,15.719274,30.100867,0.003523,0.334785,0.334783,2721.009866712827,2,3,0,0,0
SD 1.5,0.15,0.013007,0.15,18.543392,31.80322,0.003523,0.463488,0.462428,1425.6471130929501,3,2,0,0,0
SD 1.5,0.2,0.023576,0.2,21.321325,30.560585,0.003523,0.525729,0.524496,904.3656684764168,2,3,0,0,0
